,LotFrontage,LotArea,OverallQual,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YearBuilt_age,YearRemodAdd_age,GarageYrBlt_age,MSZoning_indexed,Street_indexed,Alley_indexed,LotShape_indexed,LandContour_indexed,Utilities_indexed,LotConfig_indexed,LandSlope_indexed,Neighborhood_indexed,Condition1_indexed,Condition2_indexed,BldgType_indexed,HouseStyle_indexed,RoofStyle_indexed,RoofMatl_indexed,Exterior1st_indexed,Exterior2nd_indexed,MasVnrType_indexed,ExterQual_indexed,ExterCond_indexed,Foundation_indexed,BsmtQual_indexed,BsmtCond_indexed,BsmtExposure_indexed,BsmtFinType1_indexed,BsmtFinType2_indexed,Heating_indexed,HeatingQC_indexed,CentralAir_indexed,Electrical_indexed,KitchenQual_indexed,Functional_indexed,FireplaceQu_indexed,GarageType_indexed,GarageFinish_indexed,GarageQual_indexed,GarageCond_indexed,PavedDrive_indexed,PoolQC_indexed,Fence_indexed,MiscFeature_indexed,SaleType_indexed,SaleCondition_indexed
0,65.0,-0.19969252580234165,0.6494164544947169,0.5140859253953773,0.5985297195670078,-0.9418301264028339,-0.4686533058276176,-0.8050840784691187,1.1740586179961108,0.3939739774149866,1.116060099098528,0.7978503769757667,1.2349517502471177,0.1752140378700325,-0.2066682950843949,0.9362666112353553,-0.9471391287294983,2,548,-0.763616314526979,0.22696932338221865,20,20,20.0,3,1,1,3,3,0,4,0,5,2,2,0,5,1,0,11,12,1,2,4,2,2,4,4,2,6,0,0,1,4,2,6,3,1,2,5,5,2,3,4,1,8,4
1,80.0,-0.08898222435502916,-0.07477780255475064,-0.5641975923377324,1.2183294915820386,-0.6377350901356759,0.49193732175179916,0.27544575213648115,-0.7876093709965161,-0.47819539977787795,-0.8114017181374757,0.7978503769757667,-0.7635113006026525,0.1752140378700325,-0.2066682950843949,-0.30649529023571753,0.6116166399900289,2,460,1.6417426997783184,-0.7054199286333475,47,47,47.0,3,1,1,3,3,0,2,0,24,1,2,0,2,1,0,7,7,3,3,4,1,2,4,1,0,6,0,0,1,4,3,6,5,1,2,5,5,2,3,4,1,8,4
2,68.0,0.0698629907650279,0.6494164544947169,0.32703674374779707,0.09722108043720337,-0.29733019879184214,-0.31723015271165045,-0.6347542529549355,1.2016230393871077,0.5419312824744904,1.116060099098528,0.7978503769757667,1.2349517502471177,0.1752140378700325,-0.2066682950843949,-0.30649529023571753,0.6116166399900289,2,608,-0.763616314526979,-0.06344700101607245,22,21,22.0,3,1,1,0,3,0,4,0,5,2,2,0,5,1,0,11,12,1,2,4,2,2,4,2,2,6,0,0,1,4,2,6,5,1,2,5,5,2,3,4,1,8,4
3,60.0,-0.09379571572230361,0.6494164544947169,-0.5641975923377324,-0.5180213403130112,-0.05677740890886631,-0.7052519825713164,-0.5256367084849118,0.9489491766363011,0.4076016239336251,1.116060099098528,-1.012048045749441,-0.7635113006026525,0.1752140378700325,-0.2066682950843949,0.31488566049981886,0.6116166399900289,3,642,-0.763616314526979,-0.17044248895228498,108,53,25.0,3,1,1,0,3,0,0,0,6,2,2,0,5,1,0,12,14,3,3,4,0,4,1,4,0,6,0,2,1,4,2,6,2,5,3,5,5,2,3,4,1,8,0
4,84.0,0.3596351710749502,1.3736107115441842,1.361308689328535,0.48231726231418953,-0.17024570602347755,0.21511686996167168,-0.035938460131635055,1.6311686060634791,1.3440156204286426,1.116060099098528,0.7978503769757667,1.2349517502471177,1.4007388916387609,-0.2066682950843949,1.5576475619708916,0.6116166399900289,3,836,0.7861451980455616,0.5785259266012026,23,23,23.0,3,1,1,0,3,0,2,0,15,2,2,0,5,1,0,11,12,1,2,4,2,2,4,0,2,6,0,0,1,4,2,6,5,1,2,5,5,2,3,4,1,8,4
5,85.0,0.34567604610985425,-0.7989720596042181,-0.5641975923377324,0.6577752860096211,-1.1369955974399653,-0.6106125118738368,-0.9647682898886655,0.5125125046121803,-0.28351473522589926,1.116060099098528,-1.012048045749441,1.2349517502471177,-2.2758356696674245,-0.2066682950843949,-0.9278762409712539,-0.9471391287294983,2,480,-0.44074933274103306,-0.24686783747815105,30,28,30.0,3,1,1,0,3,0,4,0,11,2,2,0,0,1,0,11,12,3,3,4,5,2,4,4,2,6,0,0,1,4,3,6,3,1,3,5,5,2,3,2,3,8,4
6,75.0,-0.04238762791981242,1.3736107115441842,0.4590714602049125,2.1092916638536456,-0.5628460140400324,1.4951157111450817,1.425172074357218,-0.7876093709965161,0.36282507108667,1.116060099098528,0.7978503769757667,-0.7635113006026525,0.1752140378700325,-0.2066682950843949,0.31488566049981886,0.6116166399900289,2,636,1.2946606943584265,0.16582904456152578,19,18,19.0,3,1,1,3,3,0,4,0,21,2,2,0,2,1,0,11,12,4,2,4,2,0,4,0,2,6,0,0,1,4,2,6,2,1,2,5,5,2,3,4,1,8,4
7,-1.0,-0.013699219370856656,0.6494164544947169,0.7561495722334224,0.9471670913254627,-0.792051974211547,0.12520937279906616,-0.13707179403068134,1.4703761479493294,1.1337605027125057,1.116060099098528,0.7978503769757667,1.2349517502471177,0.1752140378700325,-0.2066682950843949,0.31488566049981886,2.1703724087095564,2,484,1.1332272034654536,2.4127342912219882,50,50,50.0,3,1,1,0,3,0,0,0,14,4,2,0,5,1,0,5,5,4,3,4,1,2,4,2,0,1,0,0,1,4,3,6,5,1,2,5,5,2,3,4,3,8,4
8,51.0,-0.4240012235173313,0.6494164544947169,-0.5641975923377324,-1.0102152769131827,0.8782013593155302,-0.24151857615366684,-0.36329109354170597,0.9397610361726354,0.5185696027282529,-0.8114017181374757,0.7978503769757667,-0.7635113006026525,-1.050310815898696,4.3581629945867055,0.9362666112353553,2.1703724087095564,2,468,-0.037165605508600597,-0.7054199286333475,92,73,92.0,4,1,1,3,3,0,4,0,17,0,2,0,0,1,0,3,14,3,3,4,0,4,4,4,6,6,0,2,1,1,3,2,5,5,3,1,5,2,3,4,1,8,0
9,50.0,-0.29885044796819543,-0.7989720596042181,-0.5641975923377324,0.9289376862661971,-0.9645237858257562,-0.14924509222362434,-0.21691389974045475,-0.7876093709965161,-0.8383546291990386,1.116060099098528,-1.012048045749441,-0.7635113006026525,-1.050310815898696,4.3581629945867055,-0.9278762409712539,2.1703724087095564,1,205,-0.763616314526979,-0.6442796498126546,84,73,84.0,3,1,1,3,3,0,0,0,3,0,0,1,1,1,0,7,7,3,3,4,0,4,4,4,2,6,0,0,1,4,3,6,5,1,2,2,5,2,3,4,1,8,4
